Year,AvgClose,MaxClose,MinClose,Rank
2021,144.65872979542567,179.27999877929688,114.98999786376953,1
2022,131.9966384182457,156.9600067138672,112.70999908447266,2
2020,92.51434758906308,119.30000305175781,63.369998931884766,3
